"Country or Area","Year(s)","Variant","Value"
"Dominica","2084","Upper 95 PI","80.26"
"Dominica","2084","Lower 95 PI","43.271"
"Dominica","2083","Medium","61.579"
"Dominica","2083","High","82.121"
"Dominica","2083","Low","45.296"
"Dominica","2083","Constant fertility","61.181"
"Dominica","2083","Instant replacement","83.276"
"Dominica","2083","Zero migration","67.065"
"Dominica","2083","Constant mortality","52.476"
"Dominica","2083","No change","52.088"
"Dominica","2083","Momentum","79.689"
"Dominica","2083","Instant replacement zero migration","89.704"
"Dominica","2083","Median PI","61.579"
"Dominica","2083","Upper 80 PI","73.918"
"Dominica","2083","Lower 80 PI","50.212"
"Dominica","2083","Upper 95 PI","80.449"
"Dominica","2083","Lower 95 PI","44.107"
"Dominica","2082","Medium","62.112"
"Dominica","2082","High","82.171"
"Dominica","2082","Low","46.117"
"Dominica","2082","Constant fertility","61.731"
"Dominica","2082","Instant replacement","83.33"
"Dominica","2082","Zero migration","67.487"
"Dominica","2082","Constant mortality","53.108"
"Dominica","2082","No change","52.743"
"Dominica","2082","Momentum","79.758"
"Dominica","2082","Instant replacement zero migration","89.611"
"Dominica","2082","Median PI","62.112"
"Dominica","2082","Upper 80 PI","74.202"
"Dominica","2082","Lower 80 PI","50.903"
"Dominica","2082","Upper 95 PI","80.575"
"Dominica","2082","Lower 95 PI","44.949"
"Dominica","2081","Medium","62.636"
"Dominica","2081","High","82.217"
"Dominica","2081","Low","46.932"
"Dominica","2081","Constant fertility","62.282"
"Dominica","2081","Instant replacement","83.382"
"Dominica","2081","Zero migration","67.904"
"Dominica","2081","Constant mortality","53.747"
"Dominica","2081","No change","53.403"
"Dominica","2081","Momentum","79.843"
"Dominica","2081","Instant replacement zero migration","89.528"
"Dominica","2081","Median PI","62.636"
"Dominica","2081","Upper 80 PI","74.475"
"Dominica","2081","Lower 80 PI","51.656"
"Dominica","2081","Upper 95 PI","80.743"
"Dominica","2081","Lower 95 PI","45.765"
"Dominica","2080","Medium","63.161"
"Dominica","2080","High","82.264"
"Dominica","2080","Low","47.751"
"Dominica","2080","Constant fertility","62.824"
"Dominica","2080","Instant replacement","83.444"
"Dominica","2080","Zero migration","68.316"
"Dominica","2080","Constant mortality","54.401"
"Dominica","2080","No change","54.069"
"Dominica","2080","Momentum","79.939"
"Dominica","2080","Instant replacement zero migration","89.446"
"Dominica","2080","Median PI","63.161"
"Dominica","2080","Upper 80 PI","74.795"
"Dominica","2080","Lower 80 PI","52.378"
"Dominica","2080","Upper 95 PI","80.964"
"Dominica","2080","Lower 95 PI","46.535"
"Dominica","2079","Medium","63.682"
"Dominica","2079","High","82.319"
"Dominica","2079","Low","48.563"
"Dominica","2079","Constant fertility","63.359"
"Dominica","2079","Instant replacement","83.507"
"Dominica","2079","Zero migration","68.733"
"Dominica","2079","Constant mortality","55.06"
"Dominica","2079","No change","54.744"
"Dominica","2079","Momentum","80.048"
"Dominica","2079","Instant replacement zero migration","89.366"
"Dominica","2079","Median PI","63.683"
"Dominica","2079","Upper 80 PI","75.108"
"Dominica","2079","Lower 80 PI","53.056"
"Dominica","2079","Upper 95 PI","81.121"
"Dominica","2079","Lower 95 PI","47.364"
"Dominica","2078","Medium","64.197"
"Dominica","2078","High","82.378"
"Dominica","2078","Low","49.366"
"Dominica","2078","Constant fertility","63.888"
"Dominica","2078","Instant replacement","83.567"
"Dominica","2078","Zero migration","69.139"
"Dominica","2078","Constant mortality","55.714"
"Dominica","2078","No change","55.413"
"Dominica","2078","Momentum","80.163"
"Dominica","2078","Instant replacement zero migration","89.284"
"Dominica","2078","Median PI","64.197"
"Dominica","2078","Upper 80 PI","75.428"
"Dominica","2078","Lower 80 PI","53.81"
"Dominica","2078","Upper 95 PI","81.195"
"Dominica","2078","Lower 95 PI","48.273"
"Dominica","2077","Medium","64.703"
"Dominica","2077","High","82.431"
"Dominica","2077","Low","50.165"
"Dominica","2077","Constant fertility","64.409"
"Dominica","2077","Instant replacement","83.626"
"Dominica","2077","Zero migration","69.534"
"Dominica","2077","Constant mortality","56.37"
"Dominica","2077","No change","56.08"
"Dominica","2077","Momentum","80.281"
"Dominica","2077","Instant replacement zero migration","89.201"
"Dominica","2077","Median PI","64.702"
"Dominica","2077","Upper 80 PI","75.746"
"Dominica","2077","Lower 80 PI","54.5"
