"Country or Area","Year(s)","Variant","Value"
"Haiti","2062","High","18485.087"
"Haiti","2062","Low","13713.497"
"Haiti","2062","Constant fertility","18445.281"
"Haiti","2062","Instant replacement","14997.039"
"Haiti","2062","Zero migration","17159.162"
"Haiti","2062","Constant mortality","14911.177"
"Haiti","2062","No change","17233.589"
"Haiti","2062","Momentum","15050.396"
"Haiti","2062","Instant replacement zero migration","16141.763"
"Haiti","2062","Median PI","15990.972"
"Haiti","2062","Upper 80 PI","18656.267"
"Haiti","2062","Lower 80 PI","13912.493"
"Haiti","2062","Upper 95 PI","19970.789"
"Haiti","2062","Lower 95 PI","12964.4"
"Haiti","2061","Medium","15936.591"
"Haiti","2061","High","18324.765"
"Haiti","2061","Low","13743.977"
"Haiti","2061","Constant fertility","18260.597"
"Haiti","2061","Instant replacement","14957.078"
"Haiti","2061","Zero migration","17079.762"
"Haiti","2061","Constant mortality","14901.901"
"Haiti","2061","No change","17105.44"
"Haiti","2061","Momentum","15031.765"
"Haiti","2061","Instant replacement zero migration","16076.681"
"Haiti","2061","Median PI","15936.59"
"Haiti","2061","Upper 80 PI","18500.799"
"Haiti","2061","Lower 80 PI","13931.54"
"Haiti","2061","Upper 95 PI","19757.623"
"Haiti","2061","Lower 95 PI","13002.632"
"Haiti","2060","Medium","15878.033"
"Haiti","2060","High","18162.517"
"Haiti","2060","Low","13769.144"
"Haiti","2060","Constant fertility","18076.736"
"Haiti","2060","Instant replacement","14914.669"
"Haiti","2060","Zero migration","16996.151"
"Haiti","2060","Constant mortality","14887.701"
"Haiti","2060","No change","16976.558"
"Haiti","2060","Momentum","15009.835"
"Haiti","2060","Instant replacement zero migration","16009.229"
"Haiti","2060","Median PI","15878.034"
"Haiti","2060","Upper 80 PI","18337.187"
"Haiti","2060","Lower 80 PI","13938.56"
"Haiti","2060","Upper 95 PI","19563.107"
"Haiti","2060","Lower 95 PI","13035.842"
"Haiti","2059","Medium","15815.237"
"Haiti","2059","High","17998.425"
"Haiti","2059","Low","13788.808"
"Haiti","2059","Constant fertility","17893.509"
"Haiti","2059","Instant replacement","14869.476"
"Haiti","2059","Zero migration","16908.302"
"Haiti","2059","Constant mortality","14868.57"
"Haiti","2059","No change","16846.86"
"Haiti","2059","Momentum","14984.361"
"Haiti","2059","Instant replacement zero migration","15939.084"
"Haiti","2059","Median PI","15815.237"
"Haiti","2059","Upper 80 PI","18169.472"
"Haiti","2059","Lower 80 PI","13949.22"
"Haiti","2059","Upper 95 PI","19367.01"
"Haiti","2059","Lower 95 PI","13077.297"
"Haiti","2058","Medium","15748.49"
"Haiti","2058","High","17832.926"
"Haiti","2058","Low","13803.132"
"Haiti","2058","Constant fertility","17710.878"
"Haiti","2058","Instant replacement","14821.334"
"Haiti","2058","Zero migration","16816.544"
"Haiti","2058","Constant mortality","14844.698"
"Haiti","2058","No change","16716.258"
"Haiti","2058","Momentum","14955.146"
"Haiti","2058","Instant replacement zero migration","15866.1"
"Haiti","2058","Median PI","15748.49"
"Haiti","2058","Upper 80 PI","17999.432"
"Haiti","2058","Lower 80 PI","13949.026"
"Haiti","2058","Upper 95 PI","19168.685"
"Haiti","2058","Lower 95 PI","13113.257"
"Haiti","2057","Medium","15678.145"
"Haiti","2057","High","17666.505"
"Haiti","2057","Low","13812.335"
"Haiti","2057","Constant fertility","17528.795"
"Haiti","2057","Instant replacement","14770.107"
"Haiti","2057","Zero migration","16721.261"
