"Country or Area","Year","Item","Value"
"Bahamas","2005","Transport, storage and communication (ISIC I)","865980973.892598"
"Bahamas","2005","Other Activities (ISIC J-P)","5540477653.66063"
"Bahamas","2005","Total Value Added","9861818148.95388"
"Bahamas","2004","Agriculture, hunting, forestry, fishing (ISIC A-B)","158502418.820498"
"Bahamas","2004","Mining, Manufacturing, Utilities (ISIC C-E)","433609081.564069"
"Bahamas","2004","Manufacturing (ISIC D)","356831522.535479"
"Bahamas","2004","Construction (ISIC F)","185178185.520781"
"Bahamas","2004","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2327641116.99649"
"Bahamas","2004","Transport, storage and communication (ISIC I)","834333828.667288"
"Bahamas","2004","Other Activities (ISIC J-P)","5464422156.17678"
"Bahamas","2004","Total Value Added","9400439939.84623"
"Bahamas","2003","Agriculture, hunting, forestry, fishing (ISIC A-B)","170376483.185745"
"Bahamas","2003","Mining, Manufacturing, Utilities (ISIC C-E)","403508638.753805"
"Bahamas","2003","Manufacturing (ISIC D)","325487459.443116"
"Bahamas","2003","Construction (ISIC F)","355556324.244824"
"Bahamas","2003","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2221016890.69246"
"Bahamas","2003","Transport, storage and communication (ISIC I)","783266844.326445"
"Bahamas","2003","Other Activities (ISIC J-P)","5396013542.95081"
"Bahamas","2003","Total Value Added","9296406694.56379"
"Bahamas","2002","Agriculture, hunting, forestry, fishing (ISIC A-B)","155343264.081121"
"Bahamas","2002","Mining, Manufacturing, Utilities (ISIC C-E)","345674372.715412"
"Bahamas","2002","Manufacturing (ISIC D)","252983398.90918"
"Bahamas","2002","Construction (ISIC F)","107389139.557128"
"Bahamas","2002","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2280002782.95503"
"Bahamas","2002","Transport, storage and communication (ISIC I)","767032269.827747"
"Bahamas","2002","Other Activities (ISIC J-P)","5615913133.50195"
"Bahamas","2002","Total Value Added","9245621234.58863"
"Bahamas","2001","Agriculture, hunting, forestry, fishing (ISIC A-B)","138784935.791969"
"Bahamas","2001","Mining, Manufacturing, Utilities (ISIC C-E)","353070058.90958"
"Bahamas","2001","Manufacturing (ISIC D)","271388275.813948"
"Bahamas","2001","Construction (ISIC F)","-40374527.6615002"
"Bahamas","2001","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2260198082.28611"
"Bahamas","2001","Transport, storage and communication (ISIC I)","725007326.97985"
"Bahamas","2001","Other Activities (ISIC J-P)","5515780284.23313"
"Bahamas","2001","Total Value Added","8951886341.84342"
"Bahamas","2000","Agriculture, hunting, forestry, fishing (ISIC A-B)","133882799.127418"
"Bahamas","2000","Mining, Manufacturing, Utilities (ISIC C-E)","367269776.402382"
"Bahamas","2000","Manufacturing (ISIC D)","312548273.255521"
"Bahamas","2000","Construction (ISIC F)","215015079.863004"
"Bahamas","2000","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2189329369.62218"
"Bahamas","2000","Transport, storage and communication (ISIC I)","769395530.672494"
"Bahamas","2000","Other Activities (ISIC J-P)","5150383220.23462"
"Bahamas","2000","Total Value Added","8801889690.36123"
"Bahamas","1999","Agriculture, hunting, forestry, fishing (ISIC A-B)","122771289.354434"
"Bahamas","1999","Mining, Manufacturing, Utilities (ISIC C-E)","350259698.155796"
"Bahamas","1999","Manufacturing (ISIC D)","289570063.301689"
"Bahamas","1999","Construction (ISIC F)","166826127.492826"
"Bahamas","1999","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2062151075.5969"
